,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
31336,1654761941,12.79,50.37,37,400,12829,19792,939.818,0.2,0.21,1.38,0.216,0.005,598,0
31337,1654761942,12.66,50.95,32,400,12834,19812,939.828,0.2,0.2,1.35,0.211,0.005,599,0
31338,1654761943,12.57,51.57,24,400,12832,19803,939.836,0.19,0.2,1.32,0.206,0.005,600,0
31339,1654761944,12.4,52.62,39,400,12834,19797,939.856,0.19,0.21,1.3,0.217,0.014,601,0
31340,1654761945,12.36,53.08,26,400,12841,19808,939.85,0.18,0.2,1.24,0.208,0.013,602,0
31341,1654761946,12.29,53.51,25,400,12839,19808,939.845,0.18,0.19,1.2,0.201,0.013,603,0
31342,1654761947,12.25,53.94,28,400,12842,19814,939.842,0.16,0.18,1.11,0.186,0.012,604,0
31343,1654761948,12.17,54.57,16,400,12852,19820,939.842,0.15,0.16,1.01,0.169,0.011,605,0
31344,1654761949,12.14,54.85,11,400,12847,19818,939.843,0.13,0.15,0.91,0.152,0.01,606,0
31345,1654761950,12.09,55.12,17,400,12847,19813,939.828,0.13,0.14,0.86,0.144,0.009,607,0
31346,1654761951,12.08,55.39,15,400,12851,19829,939.832,0.11,0.12,0.76,0.127,0.008,608,0
31347,1654761952,12.05,55.63,18,400,12847,19819,939.836,0.11,0.11,0.71,0.12,0.008,609,0
31348,1654761953,12.01,55.81,17,400,12846,19811,939.837,0.1,0.1,0.69,0.107,0.002,610,0
31349,1654761954,12.01,56.03,22,400,12847,19819,939.838,0.1,0.1,0.69,0.107,0.002,611,0
31350,1654761955,11.98,56.16,3,400,12855,19824,939.836,0.12,0.13,0.8,0.133,0.008,612,0
31351,1654761956,11.95,56.36,0,400,12854,19822,939.844,0.13,0.14,0.92,0.143,0.003,613,0
31352,1654761957,11.94,56.49,6,400,12853,19825,939.845,0.15,0.16,1.05,0.163,0.004,614,0
31353,1654761958,11.93,56.61,8,400,12855,19824,939.841,0.16,0.16,1.08,0.168,0.004,615,0
31354,1654761959,11.91,56.7,11,400,12858,19827,939.84,0.17,0.18,1.13,0.189,0.012,616,0
31355,1654761960,11.9,56.83,10,400,12854,19827,939.839,0.17,0.19,1.16,0.194,0.012,617,0
31356,1654761961,11.87,56.95,0,400,12852,19816,939.839,0.19,0.19,1.28,0.2,0.005,618,0
31357,1654761962,11.87,57.04,11,400,12857,19826,939.847,0.19,0.2,1.3,0.203,0.005,619,0
31358,1654761963,11.84,57.15,10,400,12855,19817,939.838,0.19,0.2,1.3,0.203,0.005,620,0
31359,1654761964,11.84,57.23,10,400,12859,19826,939.845,0.21,0.22,1.45,0.227,0.005,621,0
31360,1654761965,11.81,57.28,3,400,12864,19829,939.838,0.22,0.22,1.49,0.232,0.005,622,0
31361,1654761966,11.84,57.35,7,400,12864,19833,939.841,0.22,0.23,1.5,0.233,0.005,623,0
31362,1654761967,13.14,57.59,0,400,12879,19842,939.851,0.21,0.22,1.48,0.23,0.005,624,0
31363,1654761968,13.52,57.34,0,400,12888,19849,939.856,0.2,0.21,1.41,0.22,0.005,625,0
31364,1654761969,13.7,56.7,0,400,12881,19856,939.861,0.2,0.21,1.36,0.213,0.005,626,0
31365,1654761970,13.83,56.01,0,400,12883,19847,939.856,0.19,0.2,1.31,0.204,0.005,627,0
31366,1654761971,13.94,55.31,0,400,12886,19862,939.852,0.2,0.2,1.35,0.21,0.005,628,0
31367,1654761972,14.03,54.71,3,400,12877,19853,939.848,0.21,0.22,1.45,0.226,0.005,629,0
31368,1654761973,14.1,54.18,1,400,12883,19853,939.836,0.22,0.23,1.52,0.237,0.005,630,0
31369,1654761974,14.15,53.71,10,400,12882,19845,939.833,0.23,0.24,1.58,0.246,0.006,631,0
31370,1654761975,14.21,53.23,1,400,12887,19855,939.844,0.23,0.24,1.58,0.246,0.006,632,0
31371,1654761976,14.25,52.85,6,400,12881,19850,939.839,0.24,0.25,1.67,0.261,0.006,633,0
31372,1654761977,14.29,52.5,7,400,12882,19848,939.834,0.25,0.26,1.71,0.266,0.006,634,0
31373,1654761978,14.35,52.18,0,400,12885,19856,939.831,0.25,0.26,1.71,0.266,0.006,635,0
31374,1654761979,14.36,51.97,11,400,12876,19842,939.841,0.25,0.26,1.73,0.27,0.006,636,0
31375,1654761980,14.42,51.72,9,400,12881,19846,939.838,0.25,0.26,1.72,0.269,0.006,637,0
31376,1654761981,14.43,51.48,10,400,12876,19843,939.844,0.25,0.26,1.7,0.264,0.006,638,0
31377,1654761982,14.48,51.33,6,400,12871,19844,939.835,0.23,0.24,1.61,0.251,0.006,639,0
31378,1654761983,14.52,51.17,8,400,12878,19842,939.835,0.23,0.23,1.55,0.242,0.005,640,0
31379,1654761984,14.56,51.04,3,400,12883,19848,939.821,0.22,0.23,1.54,0.24,0.005,641,0
31380,1654761985,14.58,50.86,11,400,12880,19842,939.805,0.24,0.25,1.63,0.254,0.006,642,0
31381,1654761986,14.58,50.71,10,400,12879,19845,939.809,0.25,0.26,1.71,0.266,0.006,643,0
31382,1654761987,14.61,50.59,0,400,12885,19859,939.81,0.26,0.27,1.78,0.278,0.006,644,0
31383,1654761988,14.65,50.52,8,400,12883,19840,939.813,0.27,0.28,1.88,0.293,0.007,645,0
31384,1654761989,14.68,50.41,3,400,12889,19852,939.819,0.29,0.3,1.98,0.308,0.007,646,0
31385,1654761990,14.68,50.32,10,400,12879,19843,939.813,0.29,0.3,1.98,0.309,0.007,647,0
31386,1654761991,14.68,50.28,11,400,12880,19850,939.817,0.31,0.32,2.12,0.331,0.007,648,0
31387,1654761992,14.73,50.17,10,400,12884,19843,939.818,0.31,0.32,2.14,0.334,0.008,649,0
31388,1654761993,14.75,50.12,4,400,12881,19851,939.812,0.31,0.32,2.11,0.329,0.007,650,0
31389,1654761994,14.73,50.04,7,400,12886,19845,939.814,0.31,0.32,2.12,0.33,0.007,651,0
31390,1654761995,14.77,49.99,1,400,12886,19845,939.805,0.3,0.31,2.07,0.323,0.007,652,0
31391,1654761996,14.79,49.93,0,400,12889,19856,939.802,0.3,0.31,2.08,0.324,0.007,653,0
31392,1654761997,13.55,49.78,29,400,12868,19824,939.795,0.3,0.31,2.08,0.324,0.007,654,0
31393,1654761998,13.11,50.02,34,400,12865,19817,939.798,0.31,0.32,2.12,0.33,0.007,655,0
31394,1654761999,12.93,50.6,32,400,12868,19820,939.81,0.31,0.32,2.12,0.331,0.007,656,0
31395,1654762000,12.8,51.19,24,400,12872,19825,939.81,0.3,0.32,2.09,0.326,0.007,657,0
31396,1654762001,12.71,51.8,33,400,12868,19818,939.812,0.29,0.3,1.99,0.311,0.007,658,0
31397,1654762002,12.64,52.39,29,400,12870,19825,939.81,0.28,0.29,1.93,0.3,0.007,659,0
31398,1654762003,12.55,52.9,29,400,12871,19819,939.806,0.26,0.27,1.78,0.277,0.006,660,0
31399,1654762004,12.5,53.36,19,400,12877,19835,939.803,0.25,0.26,1.7,0.264,0.006,661,0
31400,1654762005,12.46,53.76,20,400,12878,19836,939.792,0.24,0.25,1.66,0.26,0.006,662,0
31401,1654762006,12.4,54.15,22,400,12880,19840,939.795,0.23,0.24,1.57,0.245,0.006,663,0
31402,1654762007,12.36,54.51,18,400,12882,19848,939.795,0.22,0.23,1.52,0.237,0.005,664,0
31403,1654762008,12.31,54.79,20,400,12880,19833,939.794,0.21,0.22,1.44,0.225,0.005,665,0
31404,1654762009,12.31,55.1,7,400,12890,19841,939.804,0.21,0.21,1.42,0.221,0.005,666,0
31405,1654762010,12.26,55.35,26,400,12882,19831,939.797,0.21,0.22,1.43,0.224,0.005,667,0
31406,1654762011,12.24,55.59,14,400,12887,19841,939.801,0.21,0.22,1.47,0.229,0.005,668,0
31407,1654762012,12.21,55.77,11,400,12888,19851,939.798,0.22,0.22,1.48,0.231,0.005,669,0
31408,1654762013,12.2,56.0,2,400,12885,19844,939.788,0.21,0.22,1.46,0.228,0.005,670,0
31409,1654762014,12.17,56.17,15,400,12881,19829,939.792,0.22,0.22,1.49,0.232,0.005,671,0
31410,1654762015,12.17,56.33,6,400,12892,19848,939.793,0.21,0.22,1.48,0.23,0.005,672,0
31411,1654762016,12.15,56.43,15,400,12882,19837,939.793,0.21,0.22,1.47,0.229,0.005,673,0
31412,1654762017,12.11,56.57,19,400,12884,19832,939.79,0.22,0.23,1.52,0.237,0.005,674,0
31413,1654762018,12.09,56.73,13,400,12885,19840,939.788,0.23,0.23,1.55,0.242,0.005,675,0
31414,1654762019,12.06,56.81,15,400,12886,19839,939.79,0.22,0.23,1.54,0.24,0.005,676,0
31415,1654762020,12.06,56.95,13,400,12891,19843,939.784,0.21,0.22,1.48,0.23,0.005,677,0
31416,1654762021,12.08,57.0,6,400,12891,19850,939.788,0.21,0.22,1.43,0.224,0.005,678,0
31417,1654762022,12.04,57.08,11,400,12895,19843,939.791,0.19,0.2,1.33,0.208,0.005,679,0
31418,1654762023,12.04,57.2,4,400,12896,19855,939.785,0.19,0.19,1.27,0.199,0.004,680,0
31419,1654762024,11.99,57.26,0,400,12894,19842,939.782,0.18,0.19,1.25,0.195,0.004,681,0
31420,1654762025,12.02,57.33,7,400,12892,19852,939.773,0.18,0.18,1.22,0.19,0.004,682,0
31421,1654762026,11.99,57.39,12,400,12894,19846,939.781,0.17,0.18,1.18,0.185,0.004,683,0
31422,1654762027,13.29,57.58,0,400,12910,19873,939.788,0.17,0.17,1.15,0.18,0.004,684,0
31423,1654762028,13.67,57.32,0,400,12910,19877,939.787,0.17,0.17,1.15,0.179,0.004,685,0
31424,1654762029,13.89,56.72,0,400,12920,19881,939.797,0.16,0.17,1.11,0.172,0.004,686,0
31425,1654762030,14.01,55.99,0,400,12916,19872,939.798,0.16,0.17,1.13,0.176,0.004,687,0
31426,1654762031,14.11,55.3,6,400,12910,19874,939.796,0.16,0.17,1.12,0.175,0.004,688,0
31427,1654762032,14.2,54.7,0,400,12922,19879,939.793,0.16,0.17,1.11,0.173,0.004,689,0
31428,1654762033,14.26,54.12,2,400,12912,19865,939.788,0.17,0.17,1.14,0.178,0.004,690,0
31429,1654762034,14.34,53.66,5,400,12906,19856,939.783,0.17,0.17,1.14,0.178,0.004,691,0
31430,1654762035,14.36,53.2,3,400,12910,19864,939.793,0.16,0.17,1.1,0.172,0.004,692,0
31431,1654762036,14.43,52.8,1,400,12917,19867,939.789,0.16,0.16,1.07,0.167,0.004,693,0
31432,1654762037,14.49,52.46,0,400,12916,19866,939.79,0.15,0.15,1.0,0.156,0.004,694,0
31433,1654762038,14.53,52.19,8,400,12915,19861,939.796,0.14,0.14,0.96,0.15,0.003,695,0
31434,1654762039,14.58,51.94,7,400,12918,19864,939.789,0.13,0.13,0.87,0.136,0.003,696,0
31435,1654762040,14.61,51.72,15,400,12908,19852,939.786,0.12,0.13,0.83,0.129,0.003,697,0
31436,1654762041,14.66,51.47,11,400,12914,19858,939.79,0.12,0.13,0.83,0.13,0.003,698,0
31437,1654762042,14.66,51.28,17,400,12910,19856,939.778,0.12,0.12,0.82,0.128,0.003,699,0
31438,1654762043,14.7,51.16,17,400,12913,19859,939.781,0.11,0.12,0.78,0.122,0.003,700,0
31439,1654762044,14.73,50.99,11,400,12915,19864,939.783,0.11,0.11,0.76,0.118,0.003,701,0
31440,1654762045,14.76,50.88,22,400,12915,19863,939.787,0.12,0.12,0.79,0.123,0.003,702,0
31441,1654762046,14.77,50.75,0,400,12917,19872,939.789,0.13,0.14,0.93,0.145,0.003,703,0
31442,1654762047,14.8,50.61,4,400,12920,19869,939.79,0.15,0.15,1.01,0.158,0.004,704,0
31443,1654762048,14.83,50.5,11,400,12918,19863,939.78,0.17,0.18,1.2,0.187,0.004,705,0
31444,1654762049,14.87,50.4,5,400,12917,19873,939.783,0.2,0.21,1.39,0.217,0.005,706,0
31445,1654762050,14.87,50.34,5,400,12919,19872,939.785,0.23,0.24,1.59,0.248,0.006,707,0
31446,1654762051,14.89,50.29,14,400,12919,19871,939.772,0.25,0.26,1.69,0.264,0.006,708,0
31447,1654762052,14.91,50.17,12,400,12916,19864,939.774,0.26,0.27,1.79,0.279,0.006,709,0
31448,1654762053,14.94,50.1,9,400,12919,19863,939.783,0.26,0.27,1.8,0.28,0.006,710,0
31449,1654762054,14.94,50.08,13,400,12920,19868,939.785,0.27,0.28,1.85,0.289,0.007,711,0
31450,1654762055,14.96,50.0,7,400,12919,19871,939.778,0.27,0.28,1.85,0.288,0.007,712,0
31451,1654762056,15.0,49.96,1,400,12925,19872,939.772,0.27,0.28,1.88,0.293,0.007,713,0
31452,1654762057,13.7,49.8,21,400,12910,19855,939.766,0.27,0.28,1.86,0.29,0.007,714,0
31453,1654762058,13.32,50.04,18,400,12901,19849,939.783,0.27,0.28,1.84,0.286,0.006,715,0
31454,1654762059,13.11,50.65,45,400,12892,19836,939.795,0.27,0.28,1.87,0.292,0.007,716,0
31455,1654762060,12.98,51.26,26,400,12908,19845,939.8,0.27,0.28,1.88,0.293,0.007,717,0
31456,1654762061,12.91,51.9,28,400,12903,19842,939.801,0.27,0.28,1.85,0.289,0.007,718,0
31457,1654762062,12.83,52.43,28,400,12907,19839,939.783,0.27,0.28,1.85,0.289,0.007,719,0
31458,1654762063,12.76,52.96,25,400,12906,19852,939.78,0.27,0.28,1.83,0.285,0.006,720,0
31459,1654762064,12.7,53.43,21,400,12914,19857,939.779,0.25,0.26,1.74,0.271,0.006,721,0
31460,1654762065,12.66,53.87,11,400,12916,19869,939.78,0.25,0.26,1.73,0.27,0.006,722,0
31461,1654762066,12.6,54.19,9,400,12916,19859,939.773,0.26,0.27,1.77,0.275,0.006,723,0
31462,1654762067,12.56,54.56,14,400,12916,19860,939.767,0.26,0.27,1.8,0.281,0.006,724,0
31463,1654762068,12.53,54.9,22,400,12910,19859,939.767,0.28,0.29,1.92,0.299,0.007,725,0
31464,1654762069,12.52,55.13,16,400,12916,19862,939.76,0.3,0.31,2.08,0.325,0.007,726,0
31465,1654762070,12.46,55.43,17,400,12920,19864,939.746,0.31,0.32,2.13,0.333,0.008,727,0
31466,1654762071,12.42,55.66,4,400,12921,19858,939.745,0.31,0.32,2.15,0.336,0.008,728,0
31467,1654762072,12.4,55.88,11,400,12919,19857,939.742,0.31,0.32,2.13,0.332,0.007,729,0
31468,1654762073,12.38,56.04,23,400,12916,19857,939.758,0.31,0.32,2.12,0.331,0.007,730,0
31469,1654762074,12.35,56.24,4,400,12920,19874,939.76,0.3,0.32,2.09,0.326,0.007,731,0
31470,1654762075,12.33,56.38,20,400,12922,19857,939.755,0.3,0.31,2.08,0.324,0.007,732,0
31471,1654762076,12.32,56.54,13,400,12921,19856,939.741,0.3,0.31,2.04,0.318,0.007,733,0
31472,1654762077,12.31,56.67,21,400,12924,19863,939.747,0.29,0.31,2.03,0.316,0.007,734,0
31473,1654762078,12.29,56.79,6,400,12917,19860,939.745,0.29,0.3,1.99,0.31,0.007,735,0
31474,1654762079,12.26,56.9,10,400,12921,19860,939.751,0.29,0.3,1.98,0.309,0.007,736,0
31475,1654762080,12.26,56.99,4,400,12927,19870,939.748,0.29,0.3,2.0,0.312,0.007,737,0
31476,1654762081,12.26,57.08,9,400,12923,19868,939.752,0.3,0.31,2.06,0.321,0.007,738,0
31477,1654762082,12.22,57.17,11,400,12920,19856,939.753,0.3,0.31,2.05,0.32,0.007,739,0
31478,1654762083,12.22,57.24,10,400,12932,19873,939.756,0.29,0.3,1.98,0.309,0.007,740,0
31479,1654762084,12.2,57.33,11,400,12930,19867,939.767,0.28,0.29,1.92,0.3,0.007,741,0
31480,1654762085,12.21,57.37,14,400,12921,19860,939.77,0.27,0.28,1.88,0.294,0.007,742,0
31481,1654762086,12.18,57.46,6,400,12922,19865,939.769,0.27,0.28,1.84,0.287,0.006,743,0
31482,1654762087,13.49,57.68,0,400,12938,19890,939.775,0.26,0.27,1.78,0.277,0.006,744,0
31483,1654762088,13.9,57.38,0,400,12954,19906,939.774,0.25,0.26,1.75,0.273,0.006,745,0
31484,1654762089,14.1,56.77,0,400,12947,19894,939.775,0.25,0.26,1.72,0.268,0.006,746,0
31485,1654762090,14.18,56.06,0,400,12945,19891,939.766,0.23,0.24,1.61,0.251,0.006,747,0
31486,1654762091,14.31,55.33,0,400,12950,19893,939.753,0.23,0.23,1.55,0.242,0.005,748,0
31487,1654762092,14.38,54.68,0,400,12951,19895,939.761,0.22,0.23,1.52,0.237,0.005,749,0
31488,1654762093,14.45,54.17,8,400,12946,19895,939.76,0.23,0.24,1.58,0.247,0.006,750,0
31489,1654762094,14.53,53.65,6,400,12946,19888,939.768,0.25,0.26,1.72,0.269,0.006,751,0
31490,1654762095,14.59,53.22,0,400,12954,19899,939.774,0.25,0.26,1.75,0.273,0.006,752,0
31491,1654762096,14.62,52.86,5,400,12940,19886,939.776,0.27,0.28,1.83,0.286,0.006,753,0
31492,1654762097,14.68,52.51,3,400,12946,19888,939.761,0.27,0.28,1.83,0.286,0.006,754,0
31493,1654762098,14.75,52.23,0,400,12951,19892,939.768,0.26,0.27,1.79,0.279,0.006,755,0
31494,1654762099,14.77,51.9,6,400,12936,19892,939.77,0.25,0.26,1.74,0.272,0.006,756,0
31495,1654762100,14.8,51.71,14,400,12944,19882,939.776,0.24,0.25,1.63,0.255,0.006,757,0
31496,1654762101,14.86,51.49,15,400,12945,19887,939.773,0.24,0.24,1.62,0.253,0.006,758,0
31497,1654762102,14.87,51.34,12,400,12946,19885,939.768,0.24,0.25,1.66,0.258,0.006,759,0
31498,1654762103,14.9,51.15,15,400,12948,19885,939.755,0.25,0.26,1.69,0.264,0.006,760,0
31499,1654762104,14.93,51.05,19,400,12942,19889,939.751,0.25,0.26,1.75,0.273,0.006,761,0
31500,1654762105,14.99,50.88,16,400,12944,19885,939.753,0.26,0.27,1.82,0.283,0.006,762,0
31501,1654762106,15.0,50.76,14,400,12949,19885,939.75,0.27,0.28,1.87,0.291,0.007,763,0
31502,1654762107,15.03,50.68,6,400,12947,19897,939.75,0.27,0.28,1.86,0.29,0.007,764,0
31503,1654762108,15.01,50.54,17,400,12947,19886,939.757,0.26,0.27,1.79,0.279,0.006,765,0
31504,1654762109,15.04,50.47,11,400,12953,19890,939.754,0.25,0.26,1.74,0.272,0.006,766,0
31505,1654762110,15.08,50.39,19,400,12950,19885,939.766,0.24,0.24,1.62,0.253,0.006,767,0
31506,1654762111,15.11,50.39,14,400,12948,19888,939.768,0.23,0.23,1.55,0.242,0.005,768,0
31507,1654762112,15.1,50.3,7,400,12951,19889,939.778,0.22,0.22,1.48,0.231,0.005,769,0
31508,1654762113,15.12,50.19,6,400,12950,19885,939.759,0.19,0.2,1.34,0.209,0.005,770,0
31509,1654762114,15.15,50.14,11,400,12950,19889,939.755,0.19,0.2,1.32,0.205,0.005,771,0
31510,1654762115,15.17,50.11,8,400,12955,19889,939.765,0.22,0.22,1.49,0.232,0.005,772,0
31511,1654762116,15.21,50.04,1,400,12952,19899,939.77,0.22,0.23,1.55,0.241,0.005,773,0
31512,1654762117,13.95,49.87,26,400,12932,19870,939.775,0.24,0.25,1.65,0.257,0.006,774,0
31513,1654762118,13.5,50.16,28,400,12931,19872,939.765,0.24,0.25,1.68,0.262,0.006,775,0
31514,1654762119,13.32,50.75,19,400,12940,19877,939.753,0.27,0.28,1.83,0.285,0.006,776,0
31515,1654762120,13.19,51.38,30,400,12938,19878,939.76,0.27,0.28,1.88,0.293,0.007,777,0
31516,1654762121,13.11,52.0,36,400,12935,19866,939.759,0.28,0.29,1.9,0.296,0.007,778,0
31517,1654762122,13.03,52.56,16,400,12942,19881,939.754,0.27,0.28,1.88,0.293,0.007,779,0
31518,1654762123,12.94,53.12,17,400,12948,19874,939.759,0.27,0.28,1.85,0.288,0.007,780,0
31519,1654762124,12.91,53.56,21,400,12941,19872,939.761,0.27,0.28,1.83,0.286,0.006,781,0
31520,1654762125,12.84,54.03,18,400,12946,19872,939.762,0.26,0.27,1.76,0.274,0.006,782,0
31521,1654762126,12.8,54.39,20,400,12948,19882,939.766,0.25,0.26,1.71,0.266,0.006,783,0
31522,1654762127,12.71,54.99,23,400,12948,19882,939.779,0.22,0.23,1.51,0.236,0.005,784,0
31523,1654762128,12.71,55.27,27,400,12943,19872,939.774,0.22,0.23,1.5,0.233,0.005,785,0
31524,1654762129,12.66,55.57,10,400,12950,19881,939.774,0.21,0.22,1.43,0.222,0.005,786,0
31525,1654762130,12.66,55.84,13,400,12945,19875,939.773,0.2,0.21,1.38,0.215,0.005,787,0
31526,1654762131,12.6,56.02,10,400,12955,19882,939.776,0.19,0.19,1.27,0.199,0.004,788,0
31527,1654762132,12.6,56.2,14,400,12951,19882,939.791,0.18,0.18,1.22,0.19,0.004,789,0
31528,1654762133,12.56,56.37,10,400,12954,19893,939.79,0.16,0.17,1.1,0.171,0.004,790,0
31529,1654762134,12.56,56.53,8,400,12949,19883,939.804,0.15,0.16,1.04,0.162,0.004,791,0
31530,1654762135,12.52,56.67,6,400,12960,19890,939.794,0.13,0.14,0.93,0.144,0.003,792,0
31531,1654762136,12.53,56.81,12,400,12951,19881,939.792,0.13,0.14,0.92,0.144,0.003,793,0
31532,1654762137,12.5,56.92,15,400,12953,19885,939.799,0.13,0.13,0.89,0.139,0.003,794,0
31533,1654762138,12.49,57.06,8,400,12957,19889,939.789,0.13,0.14,0.92,0.143,0.003,795,0
31534,1654762139,12.45,57.22,8,400,12959,19897,939.788,0.13,0.14,0.92,0.143,0.003,796,0
31535,1654762140,12.43,57.36,0,400,12956,19898,939.784,0.14,0.14,0.95,0.149,0.003,797,0
31536,1654762141,12.45,57.45,10,400,12957,19886,939.786,0.14,0.15,0.98,0.153,0.003,798,0
31537,1654762142,12.43,57.53,11,400,12957,19896,939.784,0.14,0.15,0.97,0.152,0.003,799,0
31538,1654762143,12.42,57.6,9,400,12954,19895,939.793,0.16,0.16,1.08,0.169,0.004,800,0
31539,1654762144,12.43,57.67,8,400,12955,19893,939.792,0.16,0.17,1.13,0.176,0.004,801,0
31540,1654762145,13.73,57.86,0,400,12978,19913,939.792,0.17,0.18,1.16,0.181,0.004,802,0
31541,1654762146,14.1,57.57,0,400,12985,19920,939.793,0.17,0.18,1.16,0.181,0.004,803,0
31542,1654762147,14.28,56.93,0,400,12983,19926,939.793,0.17,0.18,1.17,0.183,0.004,804,0
31543,1654762148,14.42,56.19,0,400,12980,19923,939.795,0.17,0.18,1.18,0.185,0.004,805,0
31544,1654762149,14.51,55.5,0,400,12975,19918,939.794,0.17,0.18,1.17,0.182,0.004,806,0
31545,1654762150,14.59,54.88,0,400,12978,19924,939.789,0.17,0.17,1.14,0.178,0.004,807,0
31546,1654762151,14.69,54.28,0,400,12977,19914,939.783,0.16,0.16,1.08,0.168,0.004,808,0
31547,1654762152,14.73,53.84,0,400,12977,19914,939.78,0.15,0.16,1.04,0.162,0.004,809,0
31548,1654762153,14.82,53.4,0,400,12979,19915,939.797,0.15,0.15,1.0,0.156,0.004,810,0
31549,1654762154,14.86,53.0,0,400,12981,19921,939.808,0.14,0.15,1.0,0.156,0.004,811,0
31550,1654762155,14.9,52.69,1,400,12971,19908,939.806,0.15,0.16,1.05,0.164,0.004,812,0
31551,1654762156,14.94,52.38,0,400,12974,19900,939.811,0.15,0.16,1.06,0.165,0.004,813,0
31552,1654762157,14.97,52.12,0,400,12981,19909,939.8,0.15,0.16,1.05,0.164,0.004,814,0
31553,1654762158,15.01,51.85,6,400,12967,19900,939.806,0.15,0.15,1.02,0.158,0.004,815,0
31554,1654762159,15.06,51.69,7,400,12974,19903,939.798,0.14,0.15,0.99,0.154,0.003,816,0
31555,1654762160,15.07,51.54,10,400,12974,19906,939.804,0.13,0.14,0.92,0.143,0.003,817,0
31556,1654762161,15.11,51.33,0,400,12975,19910,939.799,0.13,0.13,0.88,0.137,0.003,818,0
31557,1654762162,15.15,51.21,0,400,12977,19908,939.788,0.12,0.12,0.8,0.124,0.003,819,0
31558,1654762163,15.17,51.08,0,400,12981,19922,939.791,0.11,0.11,0.76,0.118,0.003,820,0
31559,1654762164,15.21,50.96,0,400,12983,19911,939.798,0.1,0.1,0.68,0.105,0.002,821,0
31560,1654762165,15.21,50.84,0,400,12977,19909,939.791,0.09,0.1,0.64,0.099,0.002,822,0
31561,1654762166,15.26,50.74,0,400,12978,19913,939.786,0.08,0.08,0.56,0.087,0.002,823,0
31562,1654762167,15.27,50.62,8,400,12972,19902,939.778,0.08,0.09,0.58,0.09,0.002,824,0
31563,1654762168,15.28,50.59,5,400,12975,19908,939.788,0.1,0.1,0.67,0.105,0.002,825,0
31564,1654762169,15.31,50.48,7,400,12979,19911,939.783,0.1,0.11,0.7,0.109,0.002,826,0
31565,1654762170,15.34,50.34,5,400,12980,19920,939.767,0.1,0.11,0.72,0.112,0.003,827,0
31566,1654762171,15.37,50.26,7,400,12981,19907,939.764,0.1,0.11,0.71,0.11,0.002,828,0
31567,1654762172,15.38,50.2,6,400,12980,19910,939.774,0.11,0.12,0.76,0.119,0.003,829,0
31568,1654762173,15.39,50.18,7,400,12975,19906,939.783,0.11,0.12,0.77,0.12,0.003,830,0
31569,1654762174,14.18,49.97,12,400,12969,19897,939.779,0.12,0.13,0.86,0.134,0.003,831,0
