Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
29.37,40.29,34.0,422.0,12858.0,20753.0,937.602,2.15,2.23,14.8,2.308,0.052,0
29.43,40.07,33.0,422.0,12863.0,20754.0,937.608,2.16,2.24,14.84,2.314,0.052,0
29.49,39.93,36.0,415.0,12864.0,20747.0,937.616,2.17,2.25,14.93,2.328,0.053,0
29.51,39.82,44.0,409.0,12854.0,20735.0,937.621,2.19,2.27,15.07,2.349,0.053,0
29.55,39.63,48.0,424.0,12854.0,20741.0,937.62,2.19,2.27,15.07,2.35,0.053,0
29.59,39.5,49.0,422.0,12860.0,20740.0,937.618,2.23,2.31,15.32,2.388,0.054,0
29.63,39.45,46.0,424.0,12858.0,20746.0,937.616,2.24,2.33,15.43,2.406,0.054,0
29.67,39.37,49.0,438.0,12853.0,20744.0,937.621,2.25,2.34,15.5,2.417,0.055,0
29.69,39.26,45.0,423.0,12862.0,20746.0,937.616,2.26,2.35,15.57,2.428,0.055,0
29.72,39.2,49.0,429.0,12850.0,20747.0,937.613,2.32,2.41,15.96,2.488,0.056,0
29.76,39.165000000000006,41.0,424.0,12852.0,20743.0,937.609,2.34,2.44,16.13,2.516,0.057,0
29.79,39.165000000000006,37.0,421.0,12860.0,20764.0,937.603,2.35,2.44,16.17,2.521,0.057,0
29.8,39.165000000000006,35.0,431.0,12855.0,20755.0,937.608,2.37,2.46,16.32,2.546,0.057,0
29.85,39.165000000000006,25.0,408.0,12864.0,20762.0,937.601,2.37,2.46,16.29,2.541,0.057,0
29.86,39.165000000000006,22.0,417.0,12851.0,20760.0,937.599,2.32,2.41,15.98,2.493,0.056,0
29.86,39.165000000000006,20.0,413.0,12864.0,20768.0,937.605,2.31,2.4,15.89,2.478,0.056,0
29.92,39.165000000000006,37.0,426.0,12861.0,20757.0,937.596,2.24,2.32,15.4,2.402,0.054,0
29.93,39.165000000000006,21.0,421.0,12859.0,20766.0,937.588,2.21,2.29,15.2,2.371,0.054,0
29.94,39.165000000000006,10.0,400.0,12870.0,20775.0,937.592,2.14,2.22,14.73,2.297,0.052,0
29.94,39.165000000000006,21.0,406.0,12865.0,20770.0,937.585,2.12,2.2,14.57,2.272,0.051,0
29.96,39.165000000000006,5.0,400.0,12866.0,20782.0,937.582,2.07,2.15,14.25,2.222,0.05,0
30.0,39.165000000000006,5.0,406.0,12868.0,20786.0,937.586,2.06,2.14,14.21,2.215,0.05,0
30.01,39.165000000000006,9.0,415.0,12861.0,20780.0,937.587,2.04,2.12,14.03,2.188,0.049,0
28.63,39.165000000000006,40.0,452.0,12841.0,20746.0,937.587,2.03,2.11,13.96,2.177,0.049,0
28.17,39.62,35.0,444.0,12848.0,20755.0,937.592,2.0,2.08,13.76,2.145,0.048,0
27.91,40.57,31.0,432.0,12851.0,20754.0,937.588,1.97,2.05,13.58,2.117,0.048,0
27.78,41.29,43.0,445.0,12843.0,20744.0,937.586,1.91,1.98,13.14,2.05,0.046,0
27.67,42.01,36.0,431.0,12850.0,20754.0,937.576,1.91,1.98,13.14,2.049,0.046,0
27.57,42.52,27.0,425.0,12844.0,20750.0,937.579,1.97,2.05,13.59,2.119,0.048,0
27.5,42.9,39.0,429.0,12852.0,20749.0,937.586,2.01,2.09,13.81,2.154,0.049,0
27.43,43.19,31.0,424.0,12850.0,20741.0,937.587,2.16,2.24,14.87,2.319,0.052,0
27.34,43.43,42.0,427.0,12849.0,20748.0,937.583,2.2,2.29,15.17,2.365,0.053,0
27.29,43.68,63.0,440.0,12849.0,20727.0,937.578,2.27,2.36,15.65,2.441,0.055,0
27.26,43.87,59.0,430.0,12850.0,20737.0,937.571,2.3,2.38,15.8,2.463,0.056,0
27.23,44.05,66.0,443.0,12851.0,20723.0,937.578,2.3,2.39,15.86,2.473,0.056,0
27.16,44.17,73.0,437.0,12849.0,20718.0,937.578,2.28,2.37,15.69,2.446,0.055,0
27.15,44.26,76.0,436.0,12847.0,20717.0,937.574,2.27,2.35,15.6,2.433,0.055,0
27.09,44.36,59.0,433.0,12844.0,20716.0,937.575,2.27,2.36,15.64,2.439,0.055,0
27.09,44.49,52.0,419.0,12852.0,20730.0,937.576,2.26,2.35,15.55,2.425,0.055,0
27.02,44.57,64.0,435.0,12847.0,20729.0,937.577,2.21,2.3,15.24,2.376,0.054,0
27.01,44.64,64.0,433.0,12844.0,20724.0,937.586,2.17,2.26,14.97,2.334,0.053,0
26.98,44.72,50.0,425.0,12847.0,20730.0,937.58,2.19,2.28,15.09,2.353,0.053,0
26.98,44.79,52.0,417.0,12854.0,20736.0,937.579,2.22,2.3,15.26,2.38,0.054,0
26.94,44.83,48.0,423.0,12853.0,20740.0,937.588,2.24,2.33,15.43,2.406,0.054,0
26.9,44.89,44.0,410.0,12854.0,20740.0,937.581,2.24,2.32,15.39,2.4,0.054,0
26.9,44.97,40.0,419.0,12858.0,20756.0,937.587,2.23,2.32,15.37,2.397,0.054,0
26.87,45.05,31.0,412.0,12861.0,20759.0,937.575,2.26,2.35,15.54,2.424,0.055,0
26.85,45.05,27.0,424.0,12858.0,20763.0,937.567,2.27,2.36,15.63,2.438,0.055,0
26.83,45.13,28.0,419.0,12858.0,20754.0,937.567,2.27,2.35,15.59,2.431,0.055,0
26.8,45.15,59.0,442.0,12854.0,20735.0,937.571,2.24,2.33,15.43,2.406,0.054,0
26.8,45.21,44.0,421.0,12848.0,20751.0,937.573,2.22,2.3,15.27,2.381,0.054,0
26.77,45.24,50.0,431.0,12845.0,20738.0,937.562,2.19,2.28,15.07,2.351,0.053,0
26.77,45.27,53.0,429.0,12850.0,20730.0,937.551,2.18,2.27,15.04,2.345,0.053,0
28.19,45.24,24.0,400.0,12864.0,20759.0,937.549,2.18,2.27,15.03,2.343,0.053,0
28.63,44.2,21.0,400.0,12867.0,20764.0,937.57,2.16,2.24,14.85,2.316,0.052,0
28.84,43.15,20.0,400.0,12861.0,20764.0,937.569,2.16,2.24,14.87,2.318,0.052,0
29.01,42.33,19.0,400.0,12865.0,20765.0,937.571,2.17,2.25,14.9,2.324,0.052,0
29.08,41.64,23.0,407.0,12864.0,20759.0,937.578,2.15,2.24,14.82,2.311,0.052,0
29.16,41.17,25.0,400.0,12861.0,20766.0,937.584,2.14,2.22,14.72,2.296,0.052,0
29.27,40.78,26.0,419.0,12861.0,20769.0,937.591,2.15,2.23,14.79,2.306,0.052,0
29.35,40.48,27.0,410.0,12855.0,20758.0,937.59,2.19,2.28,15.09,2.353,0.053,0
29.38,40.25,26.0,411.0,12854.0,20759.0,937.586,2.21,2.3,15.2,2.371,0.054,0
29.46,40.1,39.0,412.0,12853.0,20751.0,937.575,2.28,2.37,15.68,2.445,0.055,0
29.49,39.93,30.0,413.0,12849.0,20753.0,937.573,2.31,2.4,15.93,2.484,0.056,0
29.53,39.83,39.0,426.0,12848.0,20744.0,937.578,2.39,2.48,16.46,2.567,0.058,0
29.58,39.65,41.0,418.0,12849.0,20745.0,937.577,2.42,2.51,16.64,2.595,0.059,0
29.61,39.57,48.0,424.0,12850.0,20742.0,937.576,2.44,2.53,16.77,2.615,0.059,0
29.62,39.52,60.0,424.0,12853.0,20737.0,937.576,2.43,2.52,16.69,2.603,0.059,0
29.66,39.41,57.0,426.0,12846.0,20734.0,937.575,2.42,2.52,16.69,2.602,0.059,0
29.7,39.35,57.0,424.0,12845.0,20729.0,937.571,2.42,2.51,16.64,2.594,0.059,0
29.73,39.32,59.0,424.0,12839.0,20731.0,937.572,2.37,2.47,16.34,2.548,0.058,0
29.76,39.23,52.0,418.0,12845.0,20734.0,937.574,2.34,2.43,16.12,2.513,0.057,0
29.79,39.21,53.0,424.0,12847.0,20730.0,937.569,2.3,2.39,15.86,2.473,0.056,0
29.77,39.17,51.0,416.0,12848.0,20733.0,937.565,2.28,2.37,15.71,2.449,0.055,0
29.8,39.165000000000006,56.0,429.0,12850.0,20734.0,937.559,2.25,2.33,15.46,2.411,0.054,0
29.83,39.165000000000006,52.0,426.0,12850.0,20738.0,937.558,2.26,2.34,15.53,2.422,0.055,0
29.85,39.165000000000006,57.0,427.0,12850.0,20728.0,937.565,2.24,2.32,15.39,2.399,0.054,0
29.86,39.165000000000006,62.0,433.0,12852.0,20734.0,937.557,2.21,2.3,15.21,2.371,0.054,0
29.88,39.165000000000006,64.0,423.0,12849.0,20724.0,937.573,2.21,2.3,15.22,2.373,0.054,0
29.89,39.165000000000006,58.0,412.0,12846.0,20729.0,937.576,2.17,2.26,14.95,2.331,0.053,0
29.92,39.165000000000006,59.0,422.0,12843.0,20725.0,937.573,2.14,2.22,14.71,2.293,0.052,0
29.92,39.165000000000006,48.0,413.0,12853.0,20740.0,937.582,2.08,2.16,14.32,2.233,0.05,0
29.93,39.165000000000006,39.0,413.0,12856.0,20744.0,937.58,2.05,2.13,14.12,2.202,0.05,0
28.53,39.165000000000006,64.0,447.0,12827.0,20708.0,937.578,2.04,2.12,14.05,2.19,0.049,0
28.08,39.87,61.0,448.0,12831.0,20719.0,937.573,2.02,2.1,13.94,2.173,0.049,0
27.84,40.87,71.0,451.0,12829.0,20712.0,937.571,2.0,2.08,13.76,2.146,0.048,0
27.71,41.69,73.0,454.0,12827.0,20708.0,937.579,1.99,2.07,13.7,2.136,0.048,0
27.6,42.3,73.0,445.0,12833.0,20715.0,937.576,1.96,2.04,13.52,2.108,0.048,0
27.52,42.79,69.0,438.0,12839.0,20726.0,937.579,1.95,2.03,13.45,2.097,0.047,0
27.43,43.2,55.0,420.0,12837.0,20729.0,937.564,1.93,2.0,13.26,2.067,0.047,0
27.38,43.51,45.0,411.0,12841.0,20740.0,937.559,1.91,1.98,13.14,2.05,0.046,0
27.29,43.82,50.0,420.0,12844.0,20727.0,937.561,1.88,1.95,12.94,2.017,0.046,0
27.27,44.0,42.0,417.0,12847.0,20747.0,937.556,1.87,1.94,12.85,2.004,0.045,0
27.19,44.16,28.0,407.0,12848.0,20754.0,937.554,1.86,1.93,12.79,1.995,0.045,0
27.16,44.33,32.0,425.0,12850.0,20755.0,937.559,1.85,1.93,12.76,1.989,0.045,0
27.12,44.47,30.0,426.0,12843.0,20752.0,937.565,1.86,1.93,12.78,1.992,0.045,0
27.09,44.56,27.0,420.0,12848.0,20758.0,937.566,1.86,1.93,12.77,1.991,0.045,0
27.04,44.68,39.0,433.0,12842.0,20744.0,937.575,1.88,1.95,12.92,2.015,0.046,0
27.02,44.79,27.0,424.0,12844.0,20751.0,937.569,1.9,1.97,13.06,2.037,0.046,0
26.98,44.88,30.0,415.0,12847.0,20754.0,937.568,1.93,2.0,13.25,2.066,0.047,0
26.92,44.98,32.0,431.0,12841.0,20750.0,937.575,1.97,2.05,13.58,2.118,0.048,0
26.91,45.05,32.0,421.0,12844.0,20754.0,937.572,1.98,2.06,13.63,2.125,0.048,0
26.91,45.1,27.0,420.0,12847.0,20757.0,937.566,2.0,2.08,13.79,2.15,0.049,0
26.9,45.15,22.0,415.0,12846.0,20760.0,937.582,2.04,2.12,14.05,2.19,0.049,0
26.87,45.24,22.0,417.0,12844.0,20764.0,937.58,2.1,2.18,14.47,2.256,0.051,0
26.83,45.31,27.0,426.0,12839.0,20757.0,937.584,2.12,2.2,14.58,2.273,0.051,0
26.83,45.32,24.0,426.0,12841.0,20754.0,937.59,2.14,2.22,14.7,2.293,0.052,0
26.81,45.43,40.0,434.0,12835.0,20748.0,937.589,2.14,2.22,14.74,2.298,0.052,0
26.78,45.48,45.0,440.0,12834.0,20743.0,937.583,2.18,2.26,14.98,2.337,0.053,0
26.75,45.55,52.0,428.0,12837.0,20729.0,937.582,2.18,2.27,15.03,2.344,0.053,0
26.74,45.57,51.0,436.0,12841.0,20735.0,937.576,2.2,2.29,15.14,2.361,0.053,0
26.72,45.66,63.0,443.0,12837.0,20723.0,937.575,2.18,2.27,15.01,2.34,0.053,0
26.72,45.66,65.0,441.0,12830.0,20720.0,937.583,2.15,2.23,14.77,2.304,0.052,0
28.14,45.64,48.0,406.0,12853.0,20734.0,937.58,2.14,2.22,14.72,2.296,0.052,0
28.57,44.61,51.0,408.0,12851.0,20722.0,937.58,2.18,2.26,15.0,2.34,0.053,0
28.79,43.6,68.0,411.0,12846.0,20719.0,937.578,2.21,2.29,15.18,2.367,0.053,0
28.94,42.71,81.0,429.0,12843.0,20707.0,937.582,2.21,2.29,15.2,2.371,0.054,0
29.01,42.03,79.0,430.0,12836.0,20705.0,937.578,2.2,2.29,15.14,2.361,0.053,0
29.14,41.52,84.0,429.0,12835.0,20697.0,937.572,2.21,2.29,15.18,2.368,0.053,0
29.18,41.16,78.0,426.0,12841.0,20701.0,937.561,2.19,2.28,15.08,2.351,0.053,0
29.25,40.91,57.0,420.0,12843.0,20717.0,937.555,2.16,2.24,14.84,2.314,0.052,0
29.31,40.64,73.0,426.0,12840.0,20709.0,937.55,2.14,2.23,14.76,2.301,0.052,0
29.35,40.47,71.0,431.0,12842.0,20711.0,937.552,2.16,2.24,14.85,2.315,0.052,0
29.42,40.28,65.0,416.0,12842.0,20721.0,937.555,2.17,2.25,14.9,2.324,0.052,0
29.46,40.18,61.0,426.0,12842.0,20730.0,937.547,2.15,2.24,14.83,2.312,0.052,0
29.49,40.06,56.0,417.0,12843.0,20727.0,937.547,2.2,2.29,15.14,2.361,0.053,0
29.55,39.94,45.0,414.0,12840.0,20730.0,937.544,2.21,2.29,15.18,2.368,0.053,0
29.58,39.82,58.0,414.0,12839.0,20728.0,937.542,2.17,2.26,14.96,2.333,0.053,0
29.61,39.72,52.0,412.0,12841.0,20722.0,937.547,2.16,2.25,14.89,2.322,0.052,0
29.63,39.66,61.0,417.0,12840.0,20718.0,937.54,2.17,2.26,14.94,2.33,0.053,0
29.65,39.61,56.0,405.0,12847.0,20729.0,937.541,2.16,2.25,14.89,2.322,0.052,0
29.69,39.53,55.0,414.0,12842.0,20727.0,937.556,2.15,2.24,14.82,2.311,0.052,0
29.72,39.46,50.0,410.0,12841.0,20733.0,937.557,2.14,2.22,14.7,2.292,0.052,0
29.74,39.44,58.0,422.0,12843.0,20727.0,937.561,2.1,2.18,14.45,2.253,0.051,0
29.74,39.33,55.0,415.0,12840.0,20720.0,937.562,2.08,2.16,14.32,2.233,0.05,0
29.74,39.3,43.0,412.0,12842.0,20734.0,937.559,2.04,2.12,14.06,2.192,0.05,0
29.77,39.27,41.0,405.0,12840.0,20733.0,937.562,2.02,2.1,13.93,2.173,0.049,0
29.79,39.26,33.0,404.0,12847.0,20748.0,937.567,1.98,2.06,13.64,2.127,0.048,0
29.82,39.22,44.0,416.0,12836.0,20736.0,937.577,1.94,2.02,13.38,2.087,0.047,0
29.8,39.23,49.0,417.0,12833.0,20732.0,937.572,1.91,1.98,13.12,2.046,0.046,0
29.82,39.17,53.0,425.0,12839.0,20731.0,937.575,1.89,1.96,12.97,2.023,0.046,0
29.85,39.165000000000006,48.0,413.0,12839.0,20738.0,937.57,1.88,1.96,12.97,2.023,0.046,0
29.86,39.18,66.0,424.0,12837.0,20723.0,937.565,1.89,1.97,13.03,2.032,0.046,0
28.46,39.28,86.0,461.0,12816.0,20695.0,937.571,1.91,1.98,13.15,2.05,0.046,0
27.98,40.17,87.0,449.0,12816.0,20693.0,937.576,1.93,2.01,13.3,2.074,0.047,0
27.76,41.23,88.0,451.0,12823.0,20699.0,937.571,1.95,2.03,13.43,2.095,0.047,0
27.61,42.0,82.0,437.0,12824.0,20701.0,937.568,2.02,2.09,13.87,2.163,0.049,0
27.52,42.69,84.0,436.0,12828.0,20712.0,937.573,2.05,2.13,14.09,2.198,0.05,0
27.43,43.19,70.0,430.0,12834.0,20718.0,937.584,2.1,2.18,14.47,2.256,0.051,0
27.33,43.6,71.0,431.0,12833.0,20713.0,937.585,2.12,2.21,14.61,2.279,0.051,0
27.27,43.9,66.0,423.0,12828.0,20713.0,937.584,2.16,2.25,14.89,2.322,0.052,0
27.22,44.15,53.0,417.0,12836.0,20719.0,937.571,2.16,2.24,14.87,2.319,0.052,0
27.18,44.31,53.0,422.0,12829.0,20714.0,937.567,2.16,2.24,14.85,2.316,0.052,0
27.12,44.5,55.0,412.0,12832.0,20717.0,937.571,2.15,2.23,14.8,2.308,0.052,0
27.05,44.61,58.0,420.0,12834.0,20724.0,937.559,2.13,2.21,14.64,2.284,0.052,0
27.05,44.78,47.0,429.0,12836.0,20727.0,937.56,2.11,2.19,14.5,2.261,0.051,0
26.96,44.9,47.0,415.0,12834.0,20729.0,937.575,2.02,2.09,13.87,2.164,0.049,0
26.95,45.01,52.0,411.0,12837.0,20729.0,937.568,1.98,2.05,13.6,2.121,0.048,0
26.94,45.11,49.0,415.0,12837.0,20723.0,937.567,1.91,1.98,13.11,2.045,0.046,0
26.91,45.19,54.0,415.0,12836.0,20724.0,937.572,1.92,1.99,13.2,2.058,0.046,0
26.84,45.29,53.0,413.0,12841.0,20724.0,937.578,1.93,2.0,13.27,2.07,0.047,0
26.83,45.3,68.0,416.0,12837.0,20727.0,937.578,1.94,2.01,13.34,2.08,0.047,0
26.81,45.42,71.0,407.0,12835.0,20723.0,937.569,1.97,2.04,13.53,2.11,0.048,0
26.8,45.49,54.0,409.0,12839.0,20724.0,937.57,1.98,2.05,13.6,2.121,0.048,0
26.77,45.54,56.0,409.0,12839.0,20728.0,937.563,2.02,2.1,13.94,2.173,0.049,0
26.74,45.62,49.0,410.0,12839.0,20733.0,937.566,2.05,2.13,14.08,2.195,0.05,0
26.72,45.64,56.0,407.0,12835.0,20730.0,937.578,2.07,2.15,14.25,2.223,0.05,0
26.72,45.72,42.0,400.0,12837.0,20740.0,937.58,2.06,2.14,14.21,2.215,0.05,0
26.68,45.75,43.0,404.0,12842.0,20749.0,937.571,2.04,2.12,14.03,2.189,0.049,0
26.67,45.75,32.0,400.0,12839.0,20749.0,937.567,2.01,2.09,13.86,2.161,0.049,0
26.64,45.82,32.0,400.0,12841.0,20753.0,937.574,1.99,2.07,13.69,2.135,0.048,0
26.64,45.86,28.0,411.0,12837.0,20742.0,937.586,1.95,2.02,13.4,2.09,0.047,0
