Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,TVOC_eCO2_ratio,Temperature[C]_25th_percentile,Temperature[C]_50th_percentile,Temperature[C]_75th_percentile,Humidity[%]_25th_percentile,Humidity[%]_50th_percentile,Humidity[%]_75th_percentile,TVOC[ppb]_25th_percentile,TVOC[ppb]_50th_percentile,TVOC[ppb]_75th_percentile,eCO2[ppm]_25th_percentile,eCO2[ppm]_50th_percentile,eCO2[ppm]_75th_percentile
20.194,47.77,1203.0,405.0,12916.0,19423.0,938.713,1.42,1.48,9.78,1.525,0.034,2.9703703703703703,0,0,1,0,1,1,0,0,0,0,0,1
-2.507,50.85,854.0,480.0,12772.0,19519.0,939.14,2.27,2.36,15.6,2.433,0.055,1.7791666666666666,0,1,1,0,0,1,0,1,1,0,0,0
-8.044,49.45,165.0,400.0,13173.0,20096.0,939.659,0.81,0.84,5.55,0.866,0.02,0.4125,1,1,1,0,1,1,0,1,1,1,1,1
21.934,49.38,7.0,418.0,12565.0,19653.0,939.803,0.0,0.0,0.0,0.002,0.006,0.0167464114832535,0,0,0,0,1,1,1,1,1,0,0,1
-1.936,54.11,1354.0,412.0,12985.0,19392.0,938.812,1.9,1.97,13.07,2.038,0.046,3.286407766990292,0,1,1,0,0,0,0,0,0,0,0,1
-5.178,61.765,561.0,480.0,12847.0,19697.0,939.226,2.46,2.56,16.93,2.641,0.06,1.16875,1,1,1,0,0,0,0,1,1,0,0,0
-4.568,50.48,338.0,400.0,13088.0,19927.0,939.393,0.26,0.27,1.79,0.279,0.006,0.845,1,1,1,0,0,1,0,1,1,1,1,1
26.51,45.3,80.0,401.0,12784.0,20640.0,937.4915,1.79,1.86,12.33,1.923,0.043,0.199501246882793,0,0,0,1,1,1,1,1,1,0,0,1
15.937,47.32,1126.0,474.0,12862.0,19448.0,938.914,2.0,2.08,13.77,2.147,0.048,2.3755274261603376,0,0,1,1,1,1,0,0,1,0,0,0
11.036,47.57,1141.0,400.0,12975.0,19449.0,938.744,1.93,2.0,13.27,2.069,0.047,2.8525,0,1,1,1,1,1,0,0,1,1,1,1
16.132,50.8,1214.0,422.0,12889.0,19425.0,938.739,1.75,1.82,12.03,1.876,0.042,2.876777251184834,0,0,1,0,0,1,0,0,0,0,0,1
-5.37,49.65,224.0,400.0,13145.0,20042.0,939.583,0.49,0.51,3.4,0.53,0.012,0.56,1,1,1,0,1,1,0,1,1,1,1,1
-5.254,52.76,225.0,400.0,13142.0,20039.0,939.551,0.51,0.53,3.5,0.545,0.012,0.5625,1,1,1,0,0,1,0,1,1,1,1,1
20.363,52.59,1053.0,480.0,12854.0,19466.0,938.9,1.93,2.0,13.27,2.069,0.047,2.19375,0,0,1,0,0,1,0,0,1,0,0,0
-3.668,57.8,783.0,480.0,12670.0,19528.0,939.137,2.31,2.4,15.89,2.478,0.056,1.63125,0,1,1,0,0,0,0,1,1,0,0,0
-5.199,57.94,337.0,400.0,13082.0,19925.0,939.245,0.53,0.55,3.67,0.572,0.013,0.8425,1,1,1,0,0,0,0,1,1,1,1,1
23.264,47.03,93.0,400.0,13104.0,19969.0,939.628,0.66,0.68,4.54,0.707,0.016,0.2325,0,0,0,1,1,1,1,1,1,1,1,1
20.544,52.01,1155.0,480.0,12828.0,19443.0,938.89,2.1,2.18,14.43,2.25,0.051,2.40625,0,0,1,0,0,1,0,0,1,0,0,0
48.56,39.165000000000006,929.0,400.0,13527.0,20437.0,937.4915,0.76,0.79,5.2,0.811,0.018,2.3225,0,0,0,1,1,1,0,1,1,1,1,1
-4.64,56.63,256.0,400.0,13127.0,20004.0,939.514,0.44,0.45,3.0,0.468,0.011,0.64,1,1,1,0,0,0,0,1,1,1,1,1
26.8,45.49,54.0,409.0,12839.0,20724.0,937.57,1.98,2.05,13.6,2.121,0.048,0.1320293398533007,0,0,0,1,1,1,1,1,1,0,0,1
26.756,55.65,20.0,400.0,13069.0,19945.0,939.714,0.37,0.38,2.55,0.398,0.009,0.05,0,0,0,0,0,0,1,1,1,1,1,1
-4.435,55.62,260.0,400.0,13120.0,20004.0,939.465,0.47,0.48,3.21,0.5,0.011,0.65,1,1,1,0,0,0,0,1,1,1,1,1
-20.918,47.85,1371.0,401.0,12966.0,19393.0,938.73,1.79,1.86,12.34,1.924,0.043,3.418952618453865,1,1,1,0,1,1,0,0,0,0,0,1
14.377,53.02,1195.0,470.0,12849.0,19430.0,938.86,1.88,1.95,12.92,2.015,0.046,2.542553191489361,0,0,1,0,0,1,0,0,0,0,0,0
-9.417,50.29,1214.0,400.0,13004.0,19420.0,938.755,2.24,2.33,15.45,2.409,0.054,3.035,1,1,1,0,1,1,0,0,0,1,1,1
-5.489,55.78,231.0,400.0,13137.0,20041.0,939.607,0.68,0.71,4.7,0.733,0.017,0.5775,1,1,1,0,0,0,0,1,1,1,1,1
19.872,52.84,25.0,400.0,13196.0,20133.0,939.6,1.17,1.22,8.07,1.258,0.028,0.0625,0,0,1,0,0,1,1,1,1,1,1,1
27.43,39.165000000000006,0.0,400.0,13425.0,21010.0,937.4915,2.03,2.11,14.01,2.184,0.049,0.0,0,0,0,1,1,1,1,1,1,1,1,1
-4.708,49.52,259.0,400.0,13124.0,20006.0,939.525,0.45,0.47,3.12,0.486,0.011,0.6475,1,1,1,0,1,1,0,1,1,1,1,1
-4.195,50.21,320.0,400.0,13092.0,19932.0,939.399,0.27,0.28,1.86,0.29,0.007,0.8,1,1,1,0,1,1,0,1,1,1,1,1
14.754,45.77,114.0,400.0,13174.0,20062.0,939.619,1.01,1.05,6.98,1.089,0.025,0.285,0,0,1,1,1,1,1,1,1,1,1,1
-17.432,49.99,1425.0,431.0,12959.0,19377.0,938.734,1.94,2.02,13.36,2.083,0.047,3.3062645011600926,1,1,1,0,1,1,0,0,0,0,0,1
-20.066,48.22,1304.0,400.0,12972.0,19403.0,938.748,1.91,1.99,13.15,2.051,0.046,3.26,1,1,1,0,1,1,0,0,0,1,1,1
24.79,43.58,0.0,400.0,13403.0,21010.0,937.4915,2.15,2.23,14.77,2.304,0.052,0.0,0,0,0,1,1,1,1,1,1,1,1,1
12.198,47.03,1239.0,455.0,12858.0,19414.0,938.816,1.85,1.92,12.71,1.983,0.045,2.723076923076923,0,1,1,1,1,1,0,0,0,0,0,0
19.691,53.05,1254.0,413.0,12916.0,19417.0,938.689,1.45,1.51,9.98,1.556,0.035,3.036319612590799,0,0,1,0,0,1,0,0,0,0,0,1
46.28,39.165000000000006,73.0,400.0,13527.0,21010.0,937.4915,1.32,1.37,9.08,1.417,0.032,0.1825,0,0,0,1,1,1,1,1,1,1,1,1
-0.044,53.32,136.0,400.0,13216.0,20070.0,939.668,2.32,2.41,15.94,2.486,0.056,0.34,0,1,1,0,0,0,0,1,1,1,1,1
5.268,52.15,1366.0,415.0,12948.0,19400.0,938.688,1.85,1.92,12.72,1.983,0.045,3.291566265060241,0,1,1,0,0,1,0,0,0,0,0,1
-21.568,51.13,1358.0,401.0,12975.0,19388.0,938.696,1.63,1.69,11.19,1.745,0.039,3.3865336658354117,1,1,1,0,0,1,0,0,0,0,0,1
-18.231,53.68,1360.0,400.0,12968.0,19393.0,938.738,1.63,1.69,11.2,1.747,0.039,3.4,1,1,1,0,0,0,0,0,0,1,1,1
-19.815,47.97,1364.0,405.0,12972.0,19387.0,938.736,1.56,1.62,10.72,1.672,0.038,3.3679012345679014,1,1,1,0,1,1,0,0,0,0,0,1
28.55,42.96,160.0,421.0,12779.0,20563.0,937.4915,1.89,1.97,13.02,2.03,0.046,0.3800475059382422,0,0,0,1,1,1,0,1,1,0,0,1
17.074,47.66,1174.0,480.0,12839.0,19438.0,938.908,1.97,2.05,13.59,2.119,0.048,2.4458333333333333,0,0,1,0,1,1,0,0,1,0,0,0
11.91,49.58,36.0,455.0,12472.0,19487.0,939.77,0.16,0.56,0.13,0.644,0.0779999999999999,0.0791208791208791,0,1,1,0,1,1,1,1,1,0,0,0
-5.173,51.66,349.0,400.0,13072.0,19915.0,939.262,0.32,0.33,2.19,0.342,0.008,0.8725,1,1,1,0,0,1,0,1,1,1,1,1
11.661,47.85,1032.0,480.0,12808.0,19472.0,939.088,2.36,2.45,16.24,2.532,0.057,2.15,0,1,1,0,1,1,0,0,1,0,0,0
-5.409,47.55,1321.0,403.0,12958.0,19402.0,938.719,1.86,1.93,12.81,1.998,0.045,3.2779156327543424,1,1,1,1,1,1,0,0,0,0,0,1
-6.727,53.46,1304.0,412.0,12956.0,19397.0,938.733,1.6,1.66,11.03,1.72,0.039,3.1650485436893203,1,1,1,0,0,0,0,0,0,0,0,1
17.564,48.22,1281.0,438.0,12910.0,19410.0,938.732,1.62,1.68,11.16,1.74,0.039,2.9246575342465757,0,0,1,0,1,1,0,0,0,0,0,0
21.933,49.67,2.0,400.0,13168.0,20059.0,939.639,0.82,0.85,5.63,0.878,0.02,0.005,0,0,0,0,1,1,1,1,1,1,1,1
16.971,53.64,1128.0,400.0,12900.0,19443.0,938.71,1.35,1.4,9.27,1.446,0.033,2.82,0,0,1,0,0,0,0,0,1,1,1,1
-6.622,52.09,44.0,400.0,13251.0,20178.0,939.658,2.2,2.29,15.17,2.366,0.053,0.11,1,1,1,0,0,1,1,1,1,1,1,1
20.745,53.24,1272.0,416.0,12914.0,19417.0,938.708,1.44,1.49,9.9,1.543,0.035,3.0576923076923075,0,0,1,0,0,1,0,0,0,0,0,1
14.509,49.62,1208.0,422.0,12887.0,19434.0,938.796,1.89,1.97,13.03,2.032,0.046,2.862559241706161,0,0,1,0,1,1,0,0,0,0,0,1
14.34,50.15,11.0,400.0,12812.0,19809.0,939.821,0.15,0.15,1.01,0.157,0.006,0.0275,0,0,1,0,1,1,1,1,1,1,1,1
-20.358,47.99,1348.0,410.0,12974.0,19378.0,938.713,1.63,1.69,11.22,1.749,0.04,3.2878048780487803,1,1,1,0,1,1,0,0,0,0,0,1
43.67,39.165000000000006,2784.5,480.0,12407.0,18490.0,937.4915,3.5050000000000003,3.625,24.15,3.725,0.0779999999999999,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
17.58,47.96,1140.0,400.0,12910.0,19445.0,938.703,1.72,1.78,11.82,1.843,0.042,2.85,0,0,1,0,1,1,0,0,1,1,1,1
21.137,49.44,6.0,400.0,12540.0,19638.0,939.777,0.03,0.09,0.01,0.106,0.065,0.015,0,0,0,0,1,1,1,1,1,1,1,1
27.26,40.16,169.0,400.0,13215.0,20985.0,937.4915,1.92,1.99,13.21,2.059,0.047,0.4225,0,0,0,1,1,1,0,1,1,1,1,1
29.22,40.8,46.0,413.0,12841.0,20741.0,937.578,1.81,1.88,12.48,1.946,0.044,0.1113801452784503,0,0,0,1,1,1,1,1,1,0,0,1
14.516,50.8,1176.0,416.0,12897.0,19438.0,938.795,1.86,1.93,12.78,1.993,0.045,2.826923076923077,0,0,1,0,0,1,0,0,1,0,0,1
28.25,43.4,103.0,400.0,12795.0,20613.0,937.4915,2.11,2.19,14.5,2.262,0.051,0.2575,0,0,0,1,1,1,1,1,1,1,1,1
8.021,51.85,1107.0,480.0,12794.0,19444.0,939.07,2.33,2.42,16.06,2.504,0.057,2.30625,0,1,1,0,0,1,0,0,1,0,0,0
27.118,54.43,25.0,400.0,13036.0,19934.0,939.789,0.36,0.37,2.47,0.385,0.009,0.0625,0,0,0,0,0,0,1,1,1,1,1,1
12.549,50.66,1208.0,418.0,12878.0,19429.0,938.74,1.66,1.73,11.44,1.783,0.04,2.889952153110048,0,1,1,0,0,1,0,0,0,0,0,1
12.228,49.59,1164.0,400.0,12880.0,19430.0,938.768,1.76,1.83,12.11,1.888,0.043,2.91,0,1,1,0,1,1,0,0,1,1,1,1
22.484,51.55,50.0,400.0,13133.0,19997.0,939.606,0.69,0.72,4.77,0.743,0.017,0.125,0,0,0,0,0,1,1,1,1,1,1,1
55.81,39.165000000000006,2784.5,480.0,12407.0,18490.0,937.4915,3.5050000000000003,3.625,24.15,3.725,0.0779999999999999,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
19.889,52.44,1163.0,480.0,12840.0,19443.0,938.885,2.27,2.36,15.62,2.436,0.055,2.4229166666666666,0,0,1,0,0,1,0,0,1,0,0,0
32.26,53.56,2784.5,400.0,13294.0,19904.0,937.4915,0.72,0.75,4.95,0.772,0.017,6.96125,0,0,0,0,0,0,0,0,0,1,1,1
20.705,47.42,1182.0,400.0,12920.0,19417.0,938.719,1.5,1.56,10.31,1.607,0.036,2.955,0,0,1,1,1,1,0,0,1,1,1,1
4.06,53.7,1419.0,435.0,12942.0,19384.0,938.687,2.05,2.13,14.14,2.205,0.05,3.262068965517241,0,1,1,0,0,0,0,0,0,0,0,0
16.475,47.65,1187.0,480.0,12845.0,19427.0,938.906,1.66,1.73,11.44,1.783,0.04,2.472916666666667,0,0,1,0,1,1,0,0,1,0,0,0
20.621,47.37,1193.0,400.0,12925.0,19435.0,938.698,1.86,1.93,12.81,1.997,0.045,2.9825,0,0,1,1,1,1,0,0,0,1,1,1
20.088,52.35,1166.0,400.0,12934.0,19438.0,938.677,1.59,1.66,10.97,1.711,0.039,2.915,0,0,1,0,0,1,0,0,1,1,1,1
27.56,47.91,130.0,410.0,12790.0,20589.0,937.4915,1.91,1.99,13.16,2.052,0.046,0.3170731707317073,0,0,0,0,1,1,0,1,1,0,0,1
14.778,45.92,95.0,400.0,13186.0,20085.0,939.609,1.02,1.06,7.05,1.099,0.025,0.2375,0,0,1,1,1,1,1,1,1,1,1,1
18.993,48.88,1034.0,480.0,12833.0,19474.0,938.995,1.94,2.02,13.38,2.087,0.047,2.154166666666667,0,0,1,0,1,1,0,0,1,0,0,0
-4.472,47.41,1413.0,417.0,12946.0,19375.0,938.723,1.83,1.9,12.61,1.967,0.044,3.3884892086330933,1,1,1,1,1,1,0,0,0,0,0,1
-8.388,49.99,56.0,400.0,13230.0,20158.0,939.689,2.29,2.38,15.77,2.459,0.056,0.14,1,1,1,0,1,1,1,1,1,1,1,1
-9.08,54.12,24.0,400.0,13256.0,20210.0,939.693,2.8,2.91,19.25,3.001,0.068,0.06,1,1,1,0,0,0,1,1,1,1,1,1
26.099,55.93,23.0,400.0,13103.0,19988.0,939.723,0.55,0.57,3.8,0.593,0.013,0.0575,0,0,0,0,0,0,1,1,1,1,1,1
13.704,50.07,1151.0,463.0,12858.0,19448.0,938.854,1.56,1.63,10.77,1.679,0.038,2.485961123110151,0,0,1,0,1,1,0,0,1,0,0,0
15.906,50.6,1289.0,422.0,12920.0,19413.0,938.743,1.36,1.41,9.36,1.46,0.033,3.0545023696682465,0,0,1,0,0,1,0,0,0,0,0,1
8.919,54.04,990.0,480.0,12810.0,19484.0,939.069,2.17,2.25,14.92,2.327,0.053,2.0625,0,1,1,0,0,0,0,0,1,0,0,0
26.18,61.765,1456.0,400.0,13400.0,20262.0,937.4915,0.81,0.84,5.55,0.865,0.02,3.64,0,0,0,0,0,0,0,0,0,1,1,1
-5.221,50.28,225.0,400.0,13137.0,20031.0,939.555,0.45,0.47,3.12,0.486,0.011,0.5625,1,1,1,0,1,1,0,1,1,1,1,1
53.57,39.165000000000006,2784.5,480.0,12706.0,18880.0,937.4915,0.52,0.54,3.56,0.555,0.013,5.801041666666666,0,0,0,1,1,1,0,0,0,0,0,0
-4.091,49.8,278.0,400.0,13120.0,19988.0,939.435,0.46,0.47,3.15,0.491,0.011,0.695,0,1,1,0,1,1,0,1,1,1,1,1
-2.952,52.11,755.0,480.0,12778.0,19533.0,939.136,2.59,2.69,17.8,2.775,0.063,1.5729166666666667,0,1,1,0,0,1,0,1,1,0,0,0
11.997,53.66,1138.0,400.0,12890.0,19455.0,938.807,2.03,2.11,13.98,2.181,0.049,2.845,0,1,1,0,0,0,0,0,1,1,1,1
28.75,41.63,81.0,400.0,12794.0,20642.0,937.4915,1.77,1.84,12.17,1.897,0.043,0.2025,0,0,0,1,1,1,1,1,1,1,1,1
18.867,47.27,1153.0,400.0,12916.0,19447.0,938.708,2.03,2.11,13.96,2.177,0.049,2.8825,0,0,1,1,1,1,0,0,1,1,1,1
20.251,52.72,1193.0,404.0,12916.0,19435.0,938.743,1.81,1.88,12.46,1.943,0.044,2.952970297029703,0,0,1,0,0,1,0,0,0,0,0,1
17.674,51.63,1124.0,401.0,12902.0,19443.0,938.706,1.9,1.98,13.08,2.04,0.046,2.802992518703242,0,0,1,0,0,1,0,0,1,0,0,1
18.747,53.77,1243.0,417.0,12906.0,19428.0,938.715,1.81,1.88,12.47,1.944,0.044,2.9808153477218227,0,0,1,0,0,0,0,0,0,0,0,1
-5.122,61.765,599.0,480.0,12879.0,19663.0,939.237,2.39,2.48,16.42,2.561,0.058,1.2479166666666666,1,1,1,0,0,0,0,1,1,0,0,0
-8.28,51.05,43.0,400.0,13237.0,20171.0,939.684,1.95,2.03,13.42,2.093,0.047,0.1075,1,1,1,0,0,1,1,1,1,1,1,1
18.642,51.89,39.0,400.0,13199.0,20128.0,939.6,0.99,1.03,6.83,1.065,0.024,0.0975,0,0,1,0,0,1,1,1,1,1,1,1
12.076,48.76,1228.0,436.0,12863.0,19420.0,938.788,1.46,1.51,10.02,1.563,0.035,2.81651376146789,0,1,1,0,1,1,0,0,0,0,0,0
-4.434,51.86,335.0,400.0,13095.0,19929.0,939.414,0.28,0.29,1.94,0.302,0.007,0.8375,1,1,1,0,0,1,0,1,1,1,1,1
18.416,53.01,1138.0,480.0,12843.0,19447.0,938.898,2.15,2.24,14.83,2.312,0.052,2.370833333333333,0,0,1,0,0,1,0,0,1,0,0,0
15.141,53.59,998.0,480.0,12825.0,19479.0,939.083,2.08,2.16,14.28,2.227,0.05,2.0791666666666666,0,0,1,0,0,0,0,0,1,0,0,0
1.752,46.74,156.0,400.0,13218.0,20064.0,939.647,1.99,2.06,13.66,2.131,0.048,0.39,0,1,1,1,1,1,0,1,1,1,1,1
23.506,57.1,0.0,400.0,12662.0,19731.0,939.781,0.2,0.3,1.11,0.321,0.0779999999999999,0.0,0,0,0,0,0,0,1,1,1,1,1,1
17.543,53.33,1105.0,480.0,12851.0,19457.0,938.903,1.75,1.81,12.02,1.875,0.042,2.302083333333333,0,0,1,0,0,0,0,0,1,0,0,0
7.942,47.6,1057.0,480.0,12803.0,19474.0,939.083,2.06,2.14,14.17,2.209,0.05,2.2020833333333334,0,1,1,1,1,1,0,0,1,0,0,0
-9.253,51.0,35.0,400.0,13252.0,20217.0,939.752,2.22,2.3,15.26,2.38,0.054,0.0875,1,1,1,0,0,1,1,1,1,1,1,1
-16.122,52.49,1404.0,408.0,12956.0,19377.0,938.703,1.95,2.03,13.44,2.096,0.047,3.4411764705882355,1,1,1,0,0,1,0,0,0,0,0,1
14.256,47.15,1017.0,480.0,12813.0,19472.0,939.071,1.97,2.04,13.52,2.109,0.048,2.11875,0,0,1,1,1,1,0,0,1,0,0,0
19.616,53.82,1256.0,418.0,12902.0,19421.0,938.727,1.62,1.69,11.18,1.743,0.039,3.0047846889952154,0,0,1,0,0,0,0,0,0,0,0,1
25.84,47.77,138.0,409.0,12783.0,20583.0,937.4915,2.26,2.34,15.53,2.422,0.055,0.3374083129584352,0,0,0,0,1,1,0,1,1,0,0,1
14.215,46.23,116.0,400.0,13184.0,20065.0,939.624,1.0,1.04,6.9,1.076,0.024,0.29,0,0,1,1,1,1,1,1,1,1,1,1
-6.805,49.2,196.0,400.0,13153.0,20068.0,939.631,0.72,0.75,4.98,0.777,0.018,0.49,1,1,1,0,1,1,0,1,1,1,1,1
-7.267,53.55,22.0,400.0,13263.0,20189.0,939.679,2.18,2.26,15.0,2.339,0.053,0.055,1,1,1,0,0,0,1,1,1,1,1,1
15.666,48.42,1281.0,411.0,12983.0,19399.0,938.846,1.8,1.87,12.38,1.931,0.044,3.116788321167883,0,0,1,0,1,1,0,0,0,0,0,1
12.971,48.09,1073.0,427.0,12869.0,19460.0,938.803,1.99,2.07,13.73,2.141,0.048,2.51288056206089,0,1,1,0,1,1,0,0,1,0,0,1
18.949,48.83,1216.0,407.0,12930.0,19439.0,938.711,1.69,1.76,11.65,1.817,0.041,2.987714987714988,0,0,1,0,1,1,0,0,0,0,0,1
3.934,48.25,971.0,480.0,12799.0,19496.0,939.072,2.03,2.1,13.94,2.174,0.049,2.0229166666666667,0,1,1,0,1,1,0,1,1,0,0,0
5.125,48.63,1017.0,480.0,12796.0,19484.0,939.063,2.52,2.62,17.35,2.706,0.061,2.11875,0,1,1,0,1,1,0,0,1,0,0,0
29.82,39.32,43.0,400.0,12841.0,20742.0,937.581,1.99,2.06,13.66,2.131,0.048,0.1075,0,0,0,1,1,1,1,1,1,1,1,1
27.67,42.01,36.0,431.0,12850.0,20754.0,937.576,1.91,1.98,13.14,2.049,0.046,0.0835266821345707,0,0,0,1,1,1,1,1,1,0,0,1
16.844,46.55,64.0,400.0,13193.0,20113.0,939.612,0.81,0.84,5.55,0.865,0.02,0.16,0,0,1,1,1,1,1,1,1,1,1,1
15.279,52.14,1092.0,400.0,12916.0,19455.0,938.772,1.62,1.68,11.13,1.735,0.039,2.73,0,0,1,0,0,1,0,0,1,1,1,1
-5.035,50.88,346.0,400.0,13090.0,19914.0,939.302,0.31,0.33,2.17,0.338,0.008,0.865,1,1,1,0,0,1,0,1,1,1,1,1
-3.297,47.89,1314.0,400.0,12959.0,19406.0,938.698,1.78,1.85,12.28,1.915,0.043,3.285,0,1,1,0,1,1,0,0,0,1,1,1
17.156,51.27,1149.0,404.0,12907.0,19442.0,938.705,1.48,1.54,10.17,1.586,0.036,2.844059405940594,0,0,1,0,0,1,0,0,1,0,0,1
-4.534,55.76,299.0,400.0,13113.0,19962.0,939.37,0.4,0.42,2.76,0.43,0.01,0.7475,1,1,1,0,0,0,0,1,1,1,1,1
2.851,53.96,894.0,480.0,12794.0,19500.0,939.107,2.43,2.52,16.73,2.608,0.059,1.8625,0,1,1,0,0,0,0,1,1,0,0,0
6.202,52.66,1350.0,419.0,12984.0,19384.0,938.805,1.71,1.78,11.8,1.839,0.042,3.2219570405727924,0,1,1,0,0,1,0,0,0,0,0,1
-2.046,49.32,121.0,400.0,13224.0,20095.0,939.651,1.69,1.75,11.62,1.813,0.041,0.3025,0,1,1,0,1,1,1,1,1,1,1,1
29.05,40.89,55.0,400.0,12794.0,20669.0,937.4915,1.84,1.91,12.66,1.974,0.045,0.1375,0,0,0,1,1,1,1,1,1,1,1,1
26.744,54.03,18.0,400.0,12946.0,19872.0,939.762,0.26,0.27,1.76,0.274,0.006,0.045,0,0,0,0,0,0,1,1,1,1,1,1
-6.283,48.38,31.0,400.0,13260.0,20189.0,939.654,2.01,2.08,13.81,2.153,0.049,0.0775,1,1,1,0,1,1,1,1,1,1,1,1
26.3,47.3,219.0,424.0,12763.0,20504.0,937.4915,1.69,1.76,11.63,1.814,0.041,0.5165094339622641,0,0,0,1,1,1,0,1,1,0,0,1
9.009,49.26,1028.0,480.0,12803.0,19476.0,939.091,2.61,2.71,17.98,2.803,0.063,2.1416666666666666,0,1,1,0,1,1,0,0,1,0,0,0
26.15,46.82,132.0,420.0,12774.0,20589.0,937.4915,1.94,2.02,13.36,2.083,0.047,0.3142857142857143,0,0,0,1,1,1,0,1,1,0,0,1
2.392,51.71,1410.0,432.0,12940.0,19370.0,938.693,2.04,2.12,14.03,2.188,0.049,3.263888888888889,0,1,1,0,0,1,0,0,0,0,0,1
14.276,47.84,1101.0,480.0,12794.0,19448.0,939.068,2.05,2.12,14.08,2.195,0.05,2.29375,0,0,1,0,1,1,0,0,1,0,0,0
26.362,55.94,20.0,400.0,13098.0,19989.0,939.682,0.93,0.97,6.41,1.0,0.023,0.05,0,0,0,0,0,0,1,1,1,1,1,1
20.443,48.58,1224.0,400.0,12914.0,19423.0,938.727,1.5,1.56,10.3,1.606,0.036,3.06,0,0,1,0,1,1,0,0,0,1,1,1
-7.051,50.8,1243.0,400.0,13003.0,19409.0,938.79,1.86,1.93,12.81,1.997,0.045,3.1075,1,1,1,0,0,1,0,0,0,1,1,1
14.416,52.19,1168.0,471.0,12859.0,19438.0,938.866,2.0,2.08,13.76,2.146,0.048,2.479830148619957,0,0,1,0,0,1,0,0,1,0,0,0
12.223,52.1,1111.0,400.0,12893.0,19444.0,938.767,1.81,1.88,12.48,1.946,0.044,2.7775,0,1,1,0,0,1,0,0,1,1,1,1
-6.355,47.64,1320.0,400.0,12964.0,19407.0,938.725,1.67,1.73,11.47,1.789,0.04,3.3,1,1,1,1,1,1,0,0,0,1,1,1
9.075,48.54,988.0,400.0,13022.0,19484.0,938.715,2.38,2.47,16.37,2.552,0.058,2.47,0,1,1,0,1,1,0,0,1,1,1,1
-0.113,49.15,1312.0,406.0,12955.0,19393.0,938.683,1.78,1.85,12.22,1.906,0.043,3.231527093596059,0,1,1,0,1,1,0,0,0,0,0,1
35.27,49.45,2784.5,400.0,13086.0,19594.0,937.4915,0.36,0.38,2.5,0.391,0.009,6.96125,0,0,0,0,1,1,0,0,0,1,1,1
-4.142,51.2,297.0,400.0,13116.0,19967.0,939.394,0.27,0.28,1.84,0.288,0.006,0.7425,0,1,1,0,0,1,0,1,1,1,1,1
4.407,54.08,1304.0,404.0,12986.0,19398.0,938.798,2.22,2.31,15.3,2.386,0.054,3.227722772277228,0,1,1,0,0,0,0,0,0,0,0,1
22.881,56.71,8.0,400.0,12605.0,19673.0,939.786,0.05,0.11,0.22,0.117,0.052,0.02,0,0,0,0,0,0,1,1,1,1,1,1
